リーダー：【聖光の守護聖】,0,0,51a65bbaf865abb30dee8dbac112f812bbcc7a4b72b8452934d48bf15a76b097,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-L008,
ミニオン：【ライト・シールド】,2,0,c855284236396cdd6825932c5a1432ab9f31f0895dc1a3b31d57c1702cb36d3d,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,1,3,QTE-0099,
ミニオン：【聖域の案内人】,3,0,e17c76e1a88a60e7d3b0fb624159acfaf0ec0d526e8abec1cbab3e1a090584fe,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,2,2,QTE-0093,
ミニオン：【秩序の執行官】,4,0,6a142a22a6c59c84374cf161ccdd3528406ca17a080960d1b46beb1e519793ee,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,3,4,QTE-0111,
ミニオン：【ホーリー・ガーディアン】,5,0,f232be397eb619a13958baae56e30dad34e22c1059c4da5d09774ac132ec24a3,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,3,6,QTE-0007,
ミニオン：【戒律の聖堂騎士】,6,0,b33f098a590c5b6ca94f54c9415690e181c1314bcf72a280087ba969cbc83db9,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,5,5,QTE-0098,
ミニオン：【大天使 ミカエル】,7,0,e3fe5b57aa7446ba12edc36f41936bc81b43eb9371db4e72d81b79d761a24b36,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,4,8,QTE-0004,台帳名「大天使ミカエル」(表記ゆれ)
ミニオン：【天界の守護神 ゾディアック】,9,0,9760c2d5fbe9e2189cbf9f21a4c92be6e6f2a4b0e0d005e49b6553bf6ff1796b,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,7,9,QTE-0104,
スペル：【光の戒め】,2,0,03e6dcb5857acff27c10b3fe6ec8845810dd1fd116afb05d89250741eb7e396d,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-0110,
スペル：【ホーリー・シグナル】,3,0,c70f6f2e81c7edf1f2987192afcad1e4b0ee3a81679c673f6a1e066836ab6131,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-0090,
スペル：【聖なる降誕の儀式】,5,0,49b0304f53104376004dcdec42e047914dc832fb5927616571590b7b2b234437,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-0109,
スペル：【神の福音】,6,0,b2e413759ca62990354a570e9225e2b2d8a4ca0c3303350d0619095f1b42431d,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-0097,
ウェポン：【正義の御盾】,1,0,6a76eb129e2130fe5d01bd74eee47410d377d1eceedef646d33064605146ef03,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,0,,QTE-0103,
ウェポン：【聖剣 エクスカリバー】,4,0,783daf6b1be6a6b2bf27e4da5f10d3e1917f471f232ca65dbe8188f4b2b45556,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,3,,QTE-0018,台帳名「聖剣エクスカリバー」(表記ゆれ)
リーダー：【断罪の聖導者】,0,0,c8923bf9095257d0ddee0b751ac791fdf55de7ce8c758a4de4cfaf56954180ce,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,,,QTE-L007,
ミニオン：【煌めきの盾】,1,0,845b0ca16cfc7e2b24b2e540780931caf0f72229f9989848b989fec568359fc5,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,2,2,QTE-0101,
ミニオン：【聖域の司祭】,2,0,9f166a747f3ab7751df46c03b67995c74a643ac4f4b100235886ff2fb15c5b14,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,2,2,QTE-0013,
ミニオン：【唱導の聖騎士】,3,0,3575e3f6b15dd20c1234d4724878202a956075d01582c0bf888469c9f881cad8,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,2,2,QTE-0100,
ミニオン：【英知の水晶】,3,0,2cc2cef8f35cc8a2a6c9205081909ca1067de0ea13c3f8f96d0334021de0195d,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,1,1,QTE-0102,
ミニオン：【戒律のガーディアン】,4,0,44bd1cf08c88b3b070b154624375f448bafaf8d47d0918adae9b3dc8dc567534,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,1,1,QTE-0108,
ミニオン：【光の召喚士】,5,0,7fd6def031f02d0c0cb3d22ae117324e0aef8f5a1c72c05a98441740aeee097e,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,3,3,QTE-0105,
ミニオン：【降臨の伝道師】,6,0,52840cc033ea8cd51ba38f01fd1881d5da4ab345285364b76260ede3fd208528,75ee790b3cf017dd0fb883630f12fece01545f6d653889f92992d743ce0bf90e,1,1,QTE-0112,
